site_name,state,lat,lon,elevation_m,pct_of_median_longterm_swe,daily_swe_change_inches,HUC02,file_name,water_year,date,year,month,day
STATE LAKES,CA,36.927,-118.574,3139.4,33,0,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
STOUTS MEADOW,CA,41.17,-121.938,1645.9,87,0,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
OSTRANDER LAKE,CA,37.637,-119.55,2499.4,74,0,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
SAWMILL,CA,37.1619,-118.5625,3109,25,0,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
TAHOE CITY CROSS,CA,39.1714,-120.1547,2057.4,45,0,HUC16,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
TRUCKEE 2,CA,39.3,-120.194,1950.7,87,0,HUC16,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
TAMARACK SUMMIT,CA,37.165,-119.2,2301.2,30,0,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
TUOLUMNE MEADOWS,CA,37.873,-119.35,2621.3,50,0,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
UPPER TYNDALL CREEK,CA,36.65,-118.397,3474.7,18,0,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
VIRGINIA LAKES RIDGE,CA,38.077,-119.234,2834.6,61,0,HUC16,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
VAN VLECK,CA,38.944,-120.3061,2042.2,109,0,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
WARD CREEK 3,CA,39.1356,-120.2187,2057.4,92,-0.2,HUC16,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
WET MEADOWS,CA,36.348,-118.572,2728,45,0,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
